Cluster,Nome do Link,Servidor/Porta,Status,Coluna 2
BackofficeCOBCluster,Balanceador: 4007,WASP858|9443,Enabled,WASP858:9443
BackofficeCOBCluster,Balanceador: 4007,WASP293|9443,Enabled,WASP293:9443
BackofficeCOBCluster,Balanceador: 4007,WASP863|9443,Enabled,WASP863:9443
BackofficeCOBCluster,Balanceador: 4007,WASP356|9443,Enabled,WASP356:9443
BackofficeCOBCluster,Balanceador: 4007,WASP308|9443,Enabled,WASP308:9443
BackofficeCOBADMCluster,Balanceador: 2007,WASP2094|9443,Enabled,WASP2094:9443
BackofficeCOBADMCluster,Balanceador: 2007,WASP2095|9443,Enabled,WASP2095:9443
BackofficeCOBADMCluster,Balanceador: 2007,WASP4068|9443,Enabled,WASP4068:9443
BackofficeCOBADMCluster,Balanceador: CCS,WASP2094|9443,Enabled,WASP2094:9443
BackofficeCOBADMCluster,Balanceador: CCS,WASP2095|9443,Enabled,WASP2095:9443
BackofficeCOBADMCluster,Balanceador: CCS,WASP4068|9443,Enabled,WASP4068:9443
BackofficeCobAPICluster,Balanceador: CCS,WASP2152|9443,Enabled,WASP2152:9443
BackofficeCobAPICluster,Balanceador: CCS,WASP2153|9443,Enabled,WASP2153:9443
BackofficeCobAPICluster,Balanceador: CCS,WASP4121|9443,Enabled,WASP4121:9443
BackofficeCobAPICluster,Balanceador: CCS,WASP4122|9443,Enabled,WASP4122:9443
BackofficeCobAPICluster,Balanceador: CCS,WASP4271|9443,Enabled,WASP4271:9443
BackofficeCOBCluster,Balanceador: 2007,WASP858|9443,Enabled,WASP858:9443
BackofficeCOBCluster,Balanceador: 2007,WASP293|9443,Enabled,WASP293:9443
BackofficeCOBCluster,Balanceador: 2007,WASP863|9443,Enabled,WASP863:9443
BackofficeCOBCluster,Balanceador: 2007,WASP356|9443,Enabled,WASP356:9443
BackofficeCOBCluster,Balanceador: 2007,WASP308|9443,Enabled,WASP308:9443
BackofficeCOBCluster,Balanceador: CYOI,WASP858|9443,Enabled,WASP858:9443
BackofficeCOBCluster,Balanceador: CYOI,WASP293|9443,Enabled,WASP293:9
443
BackofficeCOBCluster,Balanceador: CYOI,WASP863|9443,Enabled,WASP863:9443
BackofficeCOBCluster,Balanceador: CYOI,WASP356|9443,Enabled,WASP356:9443
BackofficeCOBCluster,Balanceador: CYOI,WASP308|9443,Enabled,WASP308:9443
BackofficeCOBCluster,Balanceador: CCS,WASP858|9443,Enabled,WASP858:9443
BackofficeCOBCluster,Balanceador: CCS,WASP293|9443,Enabled,WASP293:9443
BackofficeCOBCluster,Balanceador: CCS,WASP863|9443,Enabled,WASP863:9443
BackofficeCOBCluster,Balanceador: CCS,WASP356|9443,Enabled,WASP356:9443
BackofficeCOBCluster,Balanceador: CCS,WASP308|9443,Enabled,WASP308:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP384|9443,Enabled,WASP384:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP720|9443,Enabled,WASP720:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP1180|9443,Enabled,WASP1180:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP3019|9443,Enabled,WASP3019:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP3020|9443,Enabled,WASP3020:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP3021|9443,Enabled,WASP3021:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP2441|9443,Enabled,WASP2441:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP2466|9443,Enabled,WASP2466:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP2468|9443,Enabled,WASP2468:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP2470|9443,Enabled,WASP2470:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP4251|9443,Enabled,WASP4251:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP4252|9443,Enabled,WASP4252:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP4253|9443,Enabled,WASP4253:9443
BackofficeRiscoLimiteCluster,Balanceador: 2007,WASP4254|9443,Enabled,WASP4254:9443
BackofficeCCOCluster,Balanceador: 4007,WASP296|9443,Enabled,WASP296:9443
BackofficeCCOCluster,Balanceador: 4007,WASP297|9443,Enabled,WASP297:9443
BackofficeCCOCluster,Balanceador: 4007,WASP860|9443,Enabled,WASP860:9443
BackofficeCCOCluster,Balanceador: 4007,WASP311|9443,Enabled,WASP311:9443
BackofficeCCOCluster,Balanceador: 4007,WASP312|9443,Enabled,WASP312:9443
BackofficeCCOCluster,Balanceador: 4007,WASP703|9443,Enabled,WASP703:9443
BackofficeCCOCluster,Balanceador: 4007,WASP702|9443,Enabled,WASP702:9443
BackofficeCCOCluster,Balanceador: 4007,WASP314|9443,Enabled,WASP314:9443
BackofficeCCOCluster,Balanceador: 4007,WASP315|9443,Enabled,WASP315:9443
BackofficeCCOCluster,Balanceador: 4007,WASP317|9443,Enabled,WASP317:9443
BackofficeCCOCluster,Balanceador: 4007,WASP1176|9443,Enabled,WASP1176:9443
BackofficeCCOCluster,Balanceador: 4007,WASP1178|9443,Enabled,WASP1178:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2439|9443,Enabled,WASP2439:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2437|9443,Enabled,WASP2437:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2474|9443,Enabled,WASP2474:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2472|9443,Enabled,WASP2472:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2477|9443,Enabled,WASP2477:9443
BackofficeCCOCluster,Balanceador: 4007,WASP2480|9443,Enabled,WASP2480:9443
BackofficeCCOCluster,Balanceador: CCS,WASP296|9443,Enabled,WASP296:9443
BackofficeCCOCluster,Balanceador: CCS,WASP297|9443,Enabled,WASP297:9443
BackofficeCCOCluster,Balanceador: CCS,WASP860|9443,Enabled,WASP860:9443
BackofficeCCOCluster,Balanceador: CCS,WASP311|9443,Enabled,WASP311:9443
BackofficeCCOCluster,Balanceador: CCS,WASP312|9443,Enabled,WASP312:9443
BackofficeCCOCluster,Balanceador: CCS,WASP703|9443,Enabled,WASP703:9443
